radius,radius_err,flux,flux_err,mass,mass_err,logF,logF_err
1.281,0.062,722378.0633609998,76866.9639895,0.662,0.06,5.858764549174329,0.04638811433909673
1.426,0.175,1405249.47449,424140.928239,0.892,0.13699999999999998,6.147753431555342,0.13529466879544394
1.284,0.271,698945.41741,464308.8229560001,0.493,0.08199999999999999,5.8444432618068936,0.3476394488567247
1.413,0.128,4211376.249480002,743173.9234689998,1.7295900000000002,0.208387,6.62442404355122,0.07744990277314168
1.254,0.051,1146319.3218,191745.323066,1.05561,0.113354,6.059305612725964,0.07333374752607957
1.288,0.064,2480964.99165,339500.578368,1.35,0.073,6.394620636081764,0.059804970430112465
1.0090000000000001,0.07200000000000001,448418.74293999997,75867.361487,0.818,0.029,5.651683756878551,0.07419108463732549
1.318,0.091,2052391.53253,357306.636353,1.484,0.056,6.3122602142355975,0.07638559673297253
0.9440000000000001,0.027999999999999997,103162.671261,6203.13716513,0.76,0.032,5.013522579093004,0.0261455238013526
1.182,0.055,669799.1231569999,60235.4243329,0.5820000000000001,0.056,5.8259445746635,0.039162158539492335
1.33,0.064,1635974.3922,232038.49520700003,1.0595700000000001,0.0522928,6.21377650140543,0.06201629475997982
1.89,0.13,2873507.87334,465952.26537200005,0.527,0.083,6.45841239142741,0.07104996848416299
1.59,0.16,2606418.95357,560905.0367,0.7829999999999999,0.057,6.416044225113964,0.094945025829122
1.4909999999999999,0.061,4434058.09283,1354313.57564,1.682,0.021,6.646801378726652,0.1370208592232447
1.5,0.07,2050767.48202,311681.424158,1.29336,0.0542198,6.311916422435592,0.0665206755962009
1.4,0.06,1063582.94126,275032.553675,0.776601,0.0893404,6.026771363093468,0.11491319913394095
1.3019999999999998,0.162,643970.692212,230940.460644,1.86507,0.25243000000000004,5.808866102607889,0.162991055941478
0.9690000000000001,0.061,793082.5191439998,148338.552792,0.526,0.081,5.899318377411423,0.08219831416582934
1.51,0.078,1422858.59619,296484.900373,0.85,0.12,6.153161742005709,0.09184007520335502
1.212,0.035,520819.5244220001,48397.1241919,0.5429999999999999,0.07200000000000001,5.716687256646536,0.040473556085312445
1.0390000000000001,0.032,571822.8519008725,41943.68227540402,1.071,0.07,5.757261507188708,0.031913178816314065
0.777,0.055999999999999994,89691.38276719998,15960.9298889,1.338,0.065,4.952750719561064,0.07811605319905103
1.337,0.102,3615959.8859800003,687014.773592,1.98,0.077,6.5582236039398945,0.08352877765395084
1.168,0.03,1298683.9105,164212.071848,1.34915,0.152111,6.1135034600566875,0.05520986372581404
1.86,0.3,1491907.37063,337360.13742800005,1.47,0.07200000000000001,6.173741859548797,0.0999327577665241
1.26,0.1,537782.9614970001,109333.45592000001,0.613,0.042,5.7306070384134005,0.089541386031601
1.75,0.21,2722005.36586,593462.4048489999,0.65,0.076,6.4348889769882165,0.0962311952225754
1.5,0.2,1480246.1004899999,367050.642841,0.53,0.13,6.170333925664928,0.10998261952854715
1.194,0.07,507442.13770200004,78926.4059497,0.672,0.087,5.705386527946057,0.06810194681278059
1.251,0.061,440207.72173100006,71331.4421917,0.653,0.063,5.643657656290367,0.07099908017425793
1.381,0.035,1582970.86478,151832.43824000002,1.0735,0.138469,6.199472921570052,0.04178429876800083
1.175,0.052000000000000005,844373.5704409998,105310.885977,0.706,0.039,5.926534631088402,0.05444902738490809
1.64,0.22,2017681.3569099999,759004.56034,0.88,0.12,6.304852581196058,0.17180626574280036
1.249,0.14400000000000002,826218.7209109998,219952.993268,0.92,0.1,5.917095031231503,0.11846997774100874
1.23,0.11199999999999999,860815.878901,133295.757281,1.192,0.053,5.934910269539182,0.06779507391390593
